ID	t24h	t30h	t36h	t48h	t72h
SAM23877_RS19905	11.32530546	11.10852446	10.96866679	11.712527	13.38990017
SAM23877_RS19945	12.01854794	12.12702704	12.31118066	11.75279876	11.268542
SAM23877_RS19950	10.41045135	9.415741768	8.980139578	9.126704473	8.554588852
SAM23877_RS19965	8.816983623	8.622051819	8.022367813	7.426264755	6.64385619
SAM23877_RS19970	10.49585503	9.810571635	9.06608919	9.144658243	10.39339046
SAM23877_RS19980	10.1959873	9.741466986	10.44501485	9.859534786	10.57648435
SAM23877_RS20015	9.337621902	8.442943496	8.700439718	8.636624621	8.854868383
SAM23877_RS20055	8.224001674	7.73470962	5.95419631	5.044394119	5.781359714
SAM23877_RS20085	4.64385619	6.459431619	11.65910396	12.34762137	11.91288934
SAM23877_RS20090	9.56414949	9.672425342	10.52356196	10.10590851	10.17741954
SAM23877_RS20110	12.33427329	12.44501485	11.30606169	10.92925841	11.62662165
SAM23877_RS20115	13.35617683	14.37890443	12.84470576	12.10066234	10.81057163
SAM23877_RS20130	13.22701419	11.73809226	13.01715639	12.87344411	12.40327838
SAM23877_RS20160	12.7986743	12.03273453	11.75154406	11.40194612	10.96434087
SAM23877_RS20185	9.654636029	9.554588852	9.098032083	7.531381461	8.8008999
SAM23877_RS20325	11.41415668	11.11309098	10.78299821	11.14465824	9.936637939
SAM23877_RS20330	9.920352855	9.651051691	9.451211112	9.958552715	8.06608919
SAM23877_RS20405	11.63481105	11.29001885	11.14529533	11.00562455	12.3392933
SAM23877_RS20410	10.509775	10.10983065	10.22761594	9.854868383	9.810571635
SAM23877_RS20415	11.27903014	11.47218312	9.885696373	7.924812504	9.618385502
SAM23877_RS20420	10.16239133	9.668884984	9.016808288	7.693486957	10.82177398
SAM23877_RS20500	10.49285462	10.09143539	11.13699111	11.33147682	11.85953479
SAM23877_RS20730	10.72195361	9.95419631	10.29691621	10.30720081	8.891783703
SAM23877_RS20740	11.25029842	10.41996018	10.62935662	11.05731488	10.55074679
SAM23877_RS20755	4.584962501	6.942514505	7.894817763	9.236014192	8.189824559
SAM23877_RS20760	4.584962501	5.882643049	6.87036472	8.903881846	10.04984855
SAM23877_RS20765	4.321928095	5.754887502	6.459431619	8.714245518	7.839203788
SAM23877_RS20770	5.247927513	6.658211483	7.499845887	9.45532722	8.50779464
SAM23877_RS20775	4.087462841	5.426264755	5.882643049	8.129283017	7.303780748
SAM23877_RS20785	6.044394119	7.936637939	7.965784285	9.729620744	8.523561956
SAM23877_RS20790	5.523561956	6.357552005	7.022367813	9.005624549	7.569855608
SAM23877_RS20795	5.044394119	6.392317423	6.988684687	8.707359132	7.942514505
SAM23877_RS20800	5.285402219	6.321928095	6.569855608	8.724513853	6.523561956
SAM23877_RS20805	2.807354922	4.807354922	5.169925001	6.965784285	7.209453366
SAM23877_RS20810	6.807354922	7.95419631	8.17990909	9.957102042	8.22881869
SAM23877_RS20815	6.539158811	7.693486957	7.700439718	9.594324604	8.672425342
